#,,base:cevent_training_words_expanded,,,,,cevent_training_eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,individual_prop,,,,,,,,,,,,,,,,,,individual_mean_dur,,,,,,,,,,,,,,,,,,individual_freq,,,,,,,,,,,,,,,,,
#,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
18611,186,2.25,4.5,10,1,1,0,0.46178,0,0,0.15644,0,0,0,0,0.37289,0,0,0,0,0,0,0,0,0,1.039,0,0,0.352,0,0,0,0,0.839,0,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,26.667,0,0,0,0,0,0,0,0
18611,186,4.5,6.75,5,1,2,0,0.61244,0,0,0,0,0.36889,0,0,0,0,0,0,0,0,0,0,0,0,1.378,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0
18611,186,6.75,9,7,1,3,0,0.18756,0,0,0.32756,0,0.23867,0,0,0.20311,0,0,0,0,0,0,0,0,0,0.422,0,0,0.737,0,0.537,0,0,0.457,0,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,26.667,0,0,26.667,0,0,0,0,0,0,0,0
18611,186,9,11.25,2,1,4,0,0.20533,0,0,0.14178,0,0.088,0,0,0.16756,0,0,0,0,0,0,0,0,0,0.462,0,0,0.319,0,0.198,0,0,0.377,0,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,26.667,0,0,26.667,0,0,0,0,0,0,0,0
18611,186,13.7,15.95,14,1,5,0,0,0,0.556,0,0,0,0,0,0,0,0,0,0.40756,0,0,0,0,0,0,0,0.6255,0,0,0,0,0,0,0,0,0,0.4585,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0
18611,186,15.95,18.2,6,1,6,0,0,0.088444,0,0,0.73378,0,0,0,0,0,0,0,0.16889,0,0,0,0,0,0,0.199,0,0,1.651,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,0,0,0,26.667,0,0,0,0
18611,186,18.2,20.45,3,1,7,0,0,0.65644,0,0,0.032444,0,0,0,0,0,0,0,0.080889,0,0,0,0,0,0,1.477,0,0,0.073,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,0,0,0,53.333,0,0,0,0
18611,186,20.45,22.7,4,1,8,0,0,0,0.34622,0,0,0,0,0,0,0,0,0,0.64533,0,0,0,0,0,0,0,0.779,0,0,0,0,0,0,0,0,0,0.726,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0
18611,186,25.15,27.4,12,1,9,0,0,0,0,0,0.19467,0,0,0,0,0,0.43733,0.11156,0,0,0,0,0.23956,0,0,0,0,0,0.438,0,0,0,0,0,0.492,0.251,0,0,0,0,0.539,0,0,0,0,0,26.667,0,0,0,0,0,53.333,26.667,0,0,0,0,26.667
18611,186,27.4,29.65,6,1,10,0,0,0,0,0,0.53867,0,0,0,0,0,0.096889,0.32756,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0.218,0.24567,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,26.667,80,0,0,0,0,0
18611,186,29.65,31.9,13,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0.88933,0,0,0,0,0.056444,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,26.667
18611,186,31.9,34.15,18,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333
18611,186,36.6,38.85,9,1,13,0.062667,0,0,0,0,0,0,0,0.37022,0,0,0,0,0,0,0.042667,0.22222,0,0.141,0,0,0,0,0,0,0,0.4165,0,0,0,0,0,0,0.048,0.5,0,26.667,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0,53.333,26.667,0
18611,186,38.85,41.1,17,1,14,0,0,0,0,0,0,0,0,0.14311,0,0,0,0,0,0,0.72444,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0,0,0,0,0.815,0,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0,53.333,0,0
18611,186,41.1,43.35,16,1,15,0.47733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066667,0.49822,0,1.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,1.121,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,26.667,0
18611,186,43.35,45.6,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0
18611,186,48.05,50.3,4,1,17,0,0.22044,0,0.49733,0,0.15067,0,0,0,0.10356,0,0,0,0,0,0,0,0,0,0.496,0,1.119,0,0.339,0,0,0,0.233,0,0,0,0,0,0,0,0,0,26.667,0,26.667,0,26.667,0,0,0,26.667,0,0,0,0,0,0,0,0
18611,186,50.3,52.55,2,1,18,0,0,0,0.18489,0,0,0,0,0,0.78889,0,0,0,0,0,0,0,0,0,0,0,0.416,0,0,0,0,0,0.8875,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,53.333,0,0,0,0,0,0,0,0
18611,186,52.55,54.8,6,1,19,0,0.35867,0,0,0,0.27422,0,0,0,0.22489,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0.617,0,0,0,0.16867,0,0,0,0,0,0,0,0,0,26.667,0,0,0,26.667,0,0,0,80,0,0,0,0,0,0,0,0
18611,186,54.8,57.05,10,1,20,0,0.88178,0,0,0,0,0,0,0,0.063556,0,0,0,0,0,0,0,0,0,1.984,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0
18611,186,59.5,61.75,12,1,21,0.35556,0,0.37156,0,0,0,0,0,0,0,0,0,0.22089,0,0,0,0,0,0.4,0,0.836,0,0,0,0,0,0,0,0,0,0.2485,0,0,0,0,0,53.333,0,26.667,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,0
18611,186,61.75,64,3,1,22,0.24044,0,0.66267,0,0,0,0,0,0,0,0,0,0.069778,0,0,0,0,0,0.541,0,1.491,0,0,0,0,0,0,0,0,0,0.157,0,0,0,0,0,26.667,0,26.667,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0
18611,186,64,66.25,1,1,23,0,0,0.027111,0,0,0,0,0,0,0,0,0.96444,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0
