#,,base:cevent_training_words_expanded,,,,,cevent_training_eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,individual_prop,,,,,,,,,,,,,,,,,,individual_mean_dur,,,,,,,,,,,,,,,,,,individual_freq,,,,,,,,,,,,,,,,,
#,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
18711,187,2.25,4.5,10,1,1,0,0.088444,0,0,0.168,0,0,0,0,0.49378,0,0,0,0,0,0,0,0,0,0.199,0,0,0.189,0,0,0,0,0.5555,0,0,0,0,0,0,0,0,0,26.667,0,0,53.333,0,0,0,0,53.333,0,0,0,0,0,0,0,0
18711,187,4.5,6.75,5,1,2,0,0,0,0,0.85644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
18711,187,6.75,9,7,1,3,0,0.16667,0,0,0.10444,0,0.63778,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0.235,0,1.435,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,26.667,0,0,0,0,0,0,0,0,0,0,0
18711,187,9,11.25,2,1,4,0,0.84756,0,0,0,0,0.030222,0,0,0,0,0,0,0,0,0,0,0,0,1.907,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0
18711,187,13.7,15.95,14,1,5,0,0,0.41556,0.14133,0,0,0,0,0,0,0,0,0,0.39467,0,0,0,0,0,0,0.935,0.318,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0,26.667,26.667,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0
18711,187,15.95,18.2,6,1,6,0,0,0,0.20489,0,0.45244,0,0,0,0,0,0,0,0.30089,0,0,0,0,0,0,0,0.461,0,1.018,0,0,0,0,0,0,0,0.677,0,0,0,0,0,0,0,26.667,0,26.667,0,0,0,0,0,0,0,26.667,0,0,0,0
18711,187,18.2,20.45,3,1,7,0,0,0.14178,0.35467,0,0,0,0,0,0,0,0,0,0.45067,0,0,0,0,0,0,0.319,0.399,0,0,0,0,0,0,0,0,0,0.338,0,0,0,0,0,0,26.667,53.333,0,0,0,0,0,0,0,0,0,80,0,0,0,0
18711,187,20.45,22.7,4,1,8,0,0,0,0.77867,0,0,0,0,0,0,0,0,0,0.17511,0,0,0,0,0,0,0,0.876,0,0,0,0,0,0,0,0,0,0.394,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0
18711,187,25.15,27.4,12,1,9,0,0,0,0,0,0,0,0,0,0,0,0.55067,0.34622,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.6195,0.779,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,53.333,26.667,0,0,0,0,26.667
18711,187,27.4,29.65,6,1,10,0,0,0,0,0,0.72933,0,0,0,0,0,0,0,0,0,0,0,0.21733,0,0,0,0,0,0.8205,0,0,0,0,0,0,0,0,0,0,0,0.489,0,0,0,0,0,53.333,0,0,0,0,0,0,0,0,0,0,0,26.667
