#,,base:cevent_training_trial_type,,,,,cevent_training_eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,individual_prop,,,,,,,,,,,,,,,,,,individual_mean_dur,,,,,,,,,,,,,,,,,,individual_freq,,,,,,,,,,,,,,,,,
#,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
18511,185,0,2.25,1,1,1,0,0.22533,0,0,0.064444,0,0.13289,0,0,0.352,0,0,0,0,0,0,0,0,0,0.507,0,0,0.145,0,0.299,0,0,0.396,0,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,26.667,0,0,53.333,0,0,0,0,0,0,0,0
18511,185,11.45,13.7,1,1,2,0,0,0,0.088444,0,0,0,0,0,0,0,0,0,0.63333,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0,0,1.425,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0
18511,185,22.9,25.15,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0.81778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0
18511,185,34.35,36.6,1,1,4,0,0,0,0,0,0,0,0,0.63067,0,0,0,0,0,0,0.12267,0,0,0,0,0,0,0,0,0,0,0.473,0,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,26.667,0,0
18511,185,45.8,48.05,1,1,5,0,0.75156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18511,185,57.25,59.5,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0.21333,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,53.333,0,0,0,0,0
18511,185,68.7,70.95,1,1,7,0,0,0,0,0,0,0,0,0,0.10622,0,0,0,0,0,0,0.752,0,0,0,0,0,0,0,0,0,0,0.239,0,0,0,0,0,0,0.846,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,53.333,0
18511,185,80.15,82.4,1,1,8,0,0.097778,0,0,0,0,0,0.21289,0,0,0.051556,0,0,0,0,0.42444,0,0,0,0.22,0,0,0,0,0,0.479,0,0,0.116,0,0,0,0,0.4775,0,0,0,26.667,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,53.333,0,0
18511,185,91.6,93.85,1,1,9,0,0,0,0.54844,0.14178,0,0,0,0,0,0,0,0,0,0,0,0.15956,0,0,0,0,0.617,0.319,0,0,0,0,0,0,0,0,0,0,0,0.359,0,0,0,0,53.333,26.667,0,0,0,0,0,0,0,0,0,0,0,26.667,0
18511,185,103.05,105.3,1,1,10,0,0,0.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
