#,,base:cevent_training_trial_type,,,,,cevent_training_eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,individual_prop,,,,,,,,,,,,,,,,,,individual_mean_dur,,,,,,,,,,,,,,,,,,individual_freq,,,,,,,,,,,,,,,,,
#,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
18711,187,0,2.25,2,1,1,0,0.14311,0,0,0.16044,0,0,0,0,0.41867,0,0,0,0,0,0,0,0,0,0.322,0,0,0.361,0,0,0,0,0.471,0,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,53.333,0,0,0,0,0,0,0,0
18711,187,11.45,13.7,3,1,2,0,0,0.16,0.26533,0,0.20444,0,0,0,0,0,0,0,0.21689,0,0,0,0,0,0,0.36,0.597,0,0.46,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,26.667,26.667,0,26.667,0,0,0,0,0,0,0,53.333,0,0,0,0
18711,187,22.9,25.15,3,1,3,0,0,0,0,0,0.22978,0,0,0,0,0,0.24,0.15111,0,0,0,0,0.22222,0,0,0,0,0,0.517,0,0,0,0,0,0.27,0.34,0,0,0,0,0.25,0,0,0,0,0,26.667,0,0,0,0,0,53.333,26.667,0,0,0,0,53.333
18711,187,34.35,36.6,2,1,4,0,0,0,0,0,0,0,0,0.086222,0,0,0,0,0,0,0.42978,0,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0,0,0.967,0,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0,26.667,0,0
18711,187,45.8,48.05,2,1,5,0,0.26667,0,0.34222,0,0.18933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.385,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333,0,53.333,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0
18711,187,57.25,59.5,2,1,6,0.27467,0,0,0,0,0,0,0,0,0,0,0.13644,0.30133,0,0,0,0,0,0.618,0,0,0,0,0,0,0,0,0,0,0.307,0.678,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,26.667,26.667,0,0,0,0,0
18711,187,68.7,70.95,3,1,7,0,0,0,0,0,0,0,0,0,0.14978,0,0,0,0,0,0,0.68622,0,0,0,0,0,0,0,0,0,0,0.337,0,0,0,0,0,0,1.544,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,26.667,0
18711,187,80.15,82.4,2,1,8,0,0.35467,0,0,0,0,0,0.17733,0,0,0.19556,0,0,0,0,0.13289,0,0,0,0.798,0,0,0,0,0,0.399,0,0,0.22,0,0,0,0,0.299,0,0,0,26.667,0,0,0,0,0,26.667,0,0,53.333,0,0,0,0,26.667,0,0
18711,187,91.6,93.85,2,1,9,0,0,0,0.31511,0,0,0.22178,0,0,0,0,0,0,0,0,0,0.29244,0,0,0,0,0.23633,0,0,0.499,0,0,0,0,0,0,0,0,0,0.658,0,0,0,0,80,0,0,26.667,0,0,0,0,0,0,0,0,0,26.667,0
18711,187,103.05,105.3,3,1,10,0,0,0.39867,0,0,0.13333,0,0,0,0,0,0,0,0.055111,0.24844,0,0,0,0,0,0.897,0,0,0.3,0,0,0,0,0,0,0,0.124,0.559,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,0,0,0,26.667,26.667,0,0,0
18711,187,114.5,116.75,2,1,11,0,0,0,0,0,0,0,0.16889,0,0,0,0,0,0,0.27111,0.20356,0,0.22133,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0.61,0.458,0,0.498,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,26.667,26.667,0,26.667
18711,187,125.95,128.2,2,1,12,0.15911,0,0,0,0,0,0,0,0,0,0,0,0,0.18622,0,0,0,0.50667,0.358,0,0,0,0,0,0,0,0,0,0,0,0,0.419,0,0,0,0.57,26.667,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,53.333
18711,187,137.4,139.65,2,1,13,0,0,0,0,0.064444,0,0.26578,0,0,0,0,0.17689,0,0.32844,0,0,0,0,0,0,0,0,0.145,0,0.598,0,0,0,0,0.398,0,0.739,0,0,0,0,0,0,0,0,26.667,0,26.667,0,0,0,0,26.667,0,26.667,0,0,0,0
18711,187,148.85,151.1,3,1,14,0,0,0.15467,0,0,0,0,0,0,0,0,0,0,0,0,0.13378,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0
18711,187,160.3,162.55,2,1,15,0,0,0,0,0.097778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0,0
18711,187,171.75,174,3,1,16,0,0,0,0,0,0.070222,0,0,0.27467,0,0,0.18,0,0,0.15067,0,0,0,0,0,0,0,0,0.158,0,0,0.618,0,0,0.2025,0,0,0.339,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,0,53.333,0,0,26.667,0,0,0
18711,187,183.2,185.45,1,1,17,0,0,0,0.42044,0,0,0,0,0,0,0,0,0,0,0.16044,0,0,0,0,0,0,0.473,0,0,0,0,0,0,0,0,0,0,0.361,0,0,0,0,0,0,53.333,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0
18711,187,194.65,196.9,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53822,0,0,0.30311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6055,0,0,0.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333,0,0,26.667,0
18711,187,206.1,208.35,2,1,19,0,0.39822,0,0,0.0088889,0,0,0,0,0,0.24578,0,0.14133,0,0,0,0,0,0,0.448,0,0,0.02,0,0,0,0,0,0.553,0,0.318,0,0,0,0,0,0,53.333,0,0,26.667,0,0,0,0,0,26.667,0,26.667,0,0,0,0,0
18711,187,217.55,219.8,3,1,20,0.11778,0,0,0,0,0,0,0,0,0,0.29422,0,0,0,0.116,0,0,0.17733,0.265,0,0,0,0,0,0,0,0,0,0.1655,0,0,0,0.261,0,0,0.399,26.667,0,0,0,0,0,0,0,0,0,106.67,0,0,0,26.667,0,0,26.667
